country,payment_date,total_amount
India,44:30.0,62.77
China,44:30.0,40.87
United States,44:30.0,28.89
Argentina,44:30.0,26.91
Philippines,44:30.0,25.9
Brazil,44:30.0,22.93
Japan,44:30.0,22.91
Taiwan,44:30.0,18.93
Colombia,44:30.0,14.97
Germany,44:30.0,14.95
Mexico,44:30.0,13.94
Turkey,06:08.0,11.99
Germany,48:00.0,11.99
South Korea,46:40.0,11.99
Brazil,14:18.0,11.99
Turkey,17:23.0,11.99
Brazil,57:25.0,11.99
Indonesia,02:27.0,11.99
Hungary,26:58.0,11.99
United Kingdom,44:30.0,11.96
South Korea,14:48.0,10.99
Dominican Republic,04:58.0,10.99
United States,00:15.0,10.99
Peru,28:25.0,10.99
China,23:21.0,10.99
Yemen,06:06.0,10.99
Japan,23:46.0,10.99
Yemen,24:27.0,10.99
Indonesia,49:59.0,10.99
Iran,44:53.0,10.99
Japan,34:09.0,10.99
Runion,11:16.0,10.99
Poland,33:39.0,10.99
United Arab Emirates,43:45.0,10.99
Russian Federation,53:09.0,10.99
India,09:41.0,10.99
Spain,31:56.0,10.99
India,42:55.0,10.99
Germany,57:55.0,10.99
United States,39:01.0,10.99
Saudi Arabia,44:03.0,10.99
Japan,56:29.0,10.99
Nigeria,52:59.0,10.99
India,22:16.0,10.99
Brazil,59:13.0,10.99
Argentina,29:49.0,10.99
Russian Federation,47:10.0,10.99
Japan,23:05.0,10.99
United States,27:46.0,10.99
Russian Federation,03:28.0,10.99
Bangladesh,33:02.0,10.99
Italy,15:00.0,10.99
India,34:24.0,10.99
Italy,18:29.0,10.99
Paraguay,28:30.0,10.99
Runion,06:22.0,10.99
Indonesia,47:49.0,10.99
Greece,51:39.0,10.99
Cambodia,20:29.0,10.99
Algeria,09:02.0,10.99
Colombia,41:00.0,10.99
China,29:30.0,10.99
United States,46:45.0,10.99
Philippines,55:15.0,10.99
China,55:59.0,10.99
China,20:13.0,10.99
Vietnam,30:44.0,10.99
China,54:14.0,10.99
India,13:32.0,10.99
Poland,39:06.0,10.99
Mexico,34:14.0,10.99
China,46:54.0,10.99
Thailand,50:19.0,10.99
United Kingdom,01:50.0,10.99
China,08:00.0,10.99
Brazil,28:14.0,10.99
Latvia,42:09.0,10.99
Tanzania,40:12.0,10.99
Brazil,31:33.0,10.99
Tanzania,48:56.0,10.99
Sudan,38:22.0,10.99
Canada,44:46.0,10.99
Nigeria,57:15.0,10.99
Japan,48:44.0,10.99
United States,04:44.0,10.99
Indonesia,22:14.0,10.99
India,18:53.0,10.99
China,54:46.0,10.99
Kazakstan,42:46.0,10.99
Ukraine,55:23.0,10.99
Germany,00:47.0,10.99
Chile,15:53.0,10.99
Colombia,42:25.0,10.99
Turkmenistan,00:19.0,10.99
Poland,43:54.0,10.99
Philippines,07:11.0,10.99
Kazakstan,45:50.0,10.99
Mexico,22:32.0,10.99
India,58:18.0,10.99
Poland,33:58.0,10.99
China,37:31.0,10.99
Ukraine,40:12.0,10.99
United Kingdom,54:06.0,10.99
Nigeria,12:51.0,10.99
India,44:58.0,10.99
Iran,05:15.0,10.99
India,29:42.0,10.99
Brazil,29:43.0,10.99
Azerbaijan,31:40.0,10.99
United States,48:43.0,10.99
Germany,27:17.0,10.99
United States,16:10.0,10.99
Philippines,55:43.0,10.99
Brazil,55:22.0,10.99
India,55:49.0,10.99
India,27:15.0,10.99
India,37:44.0,10.99
Iran,48:26.0,10.99
United States,54:07.0,10.99
Turkey,44:30.0,10.97
Indonesia,49:22.0,9.99
United States,41:08.0,9.99
Brazil,05:19.0,9.99
Turkey,12:43.0,9.99
Brazil,59:31.0,9.99
India,38:11.0,9.99
United States,12:27.0,9.99
Russian Federation,13:26.0,9.99
Tuvalu,25:11.0,9.99
China,24:32.0,9.99
Taiwan,44:13.0,9.99
Iran,21:57.0,9.99
Mexico,46:13.0,9.99
Ukraine,33:14.0,9.99
United States,49:30.0,9.99
Brazil,24:14.0,9.99
Sudan,17:06.0,9.99
Latvia,55:13.0,9.99
Argentina,23:31.0,9.99
Taiwan,12:57.0,9.99
Ukraine,58:30.0,9.99
Turkey,12:34.0,9.99
Indonesia,01:13.0,9.99
Spain,50:52.0,9.99
Puerto Rico,51:58.0,9.99
Greenland,07:00.0,9.99
Colombia,23:52.0,9.99
Saudi Arabia,36:22.0,9.99
India,36:26.0,9.99
Colombia,33:29.0,9.99
Taiwan,17:08.0,9.99
Romania,48:45.0,9.99
India,19:07.0,9.99
China,28:12.0,9.99
Mexico,45:39.0,9.99
Mexico,38:13.0,9.99
China,44:25.0,9.99
Canada,02:33.0,9.99
Canada,23:46.0,9.99
China,36:35.0,9.99
Japan,14:55.0,9.99
Netherlands,24:31.0,9.99
India,08:39.0,9.99
India,17:37.0,9.99
India,32:18.0,9.99
Ethiopia,56:47.0,9.99
India,53:25.0,9.99
Poland,56:51.0,9.99
Indonesia,04:25.0,9.99
India,00:09.0,9.99
Argentina,12:29.0,9.99
Japan,13:11.0,9.99
Japan,26:06.0,9.99
Brazil,46:12.0,9.99
Brazil,10:54.0,9.99
Taiwan,38:31.0,9.99
South Africa,19:48.0,9.99
Iran,00:52.0,9.99
Nigeria,41:16.0,9.99
Turkey,24:28.0,9.99
Canada,42:18.0,9.99
Philippines,37:22.0,9.99
Mexico,52:16.0,9.99
United Kingdom,02:08.0,9.99
Poland,02:03.0,9.99
India,02:10.0,9.99
Kenya,01:23.0,9.99
Ukraine,33:02.0,9.99
Russian Federation,47:08.0,9.99
Iran,51:51.0,9.99
Philippines,45:02.0,9.99
Hong Kong,22:39.0,9.99
Malaysia,20:54.0,9.99
Holy See (Vatican City State),42:35.0,9.99
Spain,45:49.0,9.99
China,30:53.0,9.99
Japan,45:40.0,9.99
Iraq,48:35.0,9.99
Nigeria,13:36.0,9.99
Russian Federation,52:57.0,9.99
China,47:12.0,9.99
Philippines,33:02.0,9.99
China,48:36.0,9.99
Chile,44:02.0,9.99
United States,30:46.0,9.99
Mexico,56:19.0,9.99
Hungary,55:06.0,9.99
Mexico,29:16.0,9.99
Indonesia,49:21.0,9.99
Egypt,08:09.0,9.99
China,16:10.0,9.99
Indonesia,31:13.0,9.99
Russian Federation,49:40.0,9.99
India,30:36.0,9.99
China,32:23.0,9.99
Venezuela,47:44.0,9.99
Turkey,06:49.0,9.99
India,56:49.0,9.99
Germany,50:10.0,9.99
Brazil,14:53.0,9.99
Russian Federation,43:29.0,9.99
Russian Federation,56:30.0,9.99
Israel,25:52.0,9.99
Russian Federation,24:05.0,9.99
China,55:32.0,9.99
Iran,08:11.0,9.99
India,12:59.0,9.99
Runion,35:31.0,9.99
Turkey,36:40.0,9.99
Tanzania,23:57.0,9.99
India,26:44.0,9.99
South Africa,59:45.0,9.99
Mexico,42:12.0,9.99
Paraguay,53:14.0,9.99
